gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,45,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),77.15299048779369,3471.88,0
Male,1,Yes,No,21,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),61.19578918566936,1285.11,0
Male,0,No,No,6,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,89.44385511332008,536.66,1
Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.077349613594464,116.15,1
Female,0,No,Yes,29,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.693767084084747,861.12,1
Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,65.38250554928281,457.68,1
Male,1,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),118.9859293166708,7734.09,0
Female,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),73.13951097421015,585.12,0
Male,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.79037295340639,1640.91,0
Male,0,No,No,58,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.38661745271997,1472.42,0
Female,0,Yes,Yes,38,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),106.91566524180844,4062.8,1
Female,1,Yes,Yes,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,119.1945389864382,7747.65,0
Male,1,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.50927104390136,1710.19,1
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.54747088867565,1551.42,0
Female,0,No,No,20,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,64.5004694133097,1290.01,1
Male,0,No,No,33,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.41312012218516,2191.63,1
Male,1,No,No,69,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.55204477403439,1694.09,0
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),109.1412166269208,436.56,0
Female,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.21184932855007,3088.47,1
Female,0,Yes,No,6,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.904028954568616,137.42,0
Male,0,No,No,46,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,75.82050015342429,3487.74,1
Female,1,No,No,24,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,99.00358344020962,2376.09,1
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),91.7835012432481,1009.62,0
Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.8397114660666,2023.83,1
Female,0,Yes,Yes,72,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.507771280681045,1764.56,0
Female,0,No,No,38,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,87.34871821226879,3319.25,1
Male,0,No,No,72,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.44555175256949,2120.08,0
Male,0,No,No,11,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.25016177295508,266.75,1
Male,0,Yes,Yes,50,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.030250325274977,1051.51,0
Female,0,No,Yes,4,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.345741437262205,229.38,0
Female,0,No,Yes,8,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.95335360801671,455.63,1
Male,0,Yes,Yes,38,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,116.59220482411052,4430.5,1
Male,0,Yes,Yes,40,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,71.85287508774881,2874.12,0
Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,108.55039856884326,6947.23,0
Female,0,Yes,Yes,31,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,44.2020005894517,1370.26,0
Male,0,Yes,Yes,55,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.224349614948395,1387.34,0
Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),75.69586468208333,4920.23,0
Female,1,Yes,No,42,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.92550361648706,3608.87,1
Male,0,Yes,Yes,48,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),106.06744636300613,5091.24,0
Female,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,60.68271777599323,667.51,0
Female,1,No,No,16,Yes,No,No,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,110.12945403248784,1762.07,1
Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,61.5228163859709,430.66,1
Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,78.71545489454176,4486.78,1
Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,51.19854540299439,1126.37,1
Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),119.60932661963116,956.87,1
Female,1,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),56.90498704857496,227.62,1
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),26.19862735332416,1886.3,0
Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.45157471331436,1051.13,1
Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.99693348866288,607.98,1
Male,0,Yes,Yes,31,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,93.93256725944356,2911.91,1
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.78176629865209,6104.29,0
Female,0,No,No,26,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.984252683675884,623.59,1
Male,0,Yes,Yes,58,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,120.0,6960.0,1
Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),86.50362824128861,1903.08,1
Female,0,No,No,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,24.54096588453056,0.0,0
Female,0,Yes,No,72,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.111207239559786,1592.01,0
Female,0,No,No,22,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.790167481042086,523.38,0
Male,0,Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.87337856964488,6239.01,0
Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.24868039749809,681.99,1
Female,1,Yes,No,50,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.53770181051348,3976.89,1
Female,0,Yes,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.77035671855167,83.08,0
Male,0,Yes,No,63,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.0,7560.0,1
Female,0,No,Yes,10,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),59.46033559329315,594.6,0
Female,1,No,No,26,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),98.75575963094684,2567.65,1
Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,2160.0,1
Male,0,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.93949297558048,2125.7,0
Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),87.41471825334983,1136.39,1
Male,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,109.52941936284373,2519.18,1
Female,0,No,No,40,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.992404381751232,919.7,0
Female,1,No,No,44,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.08551720868512,3743.76,1
Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.00947882644013,750.09,1
Male,0,No,No,49,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,39.55933583438535,1938.41,0
Male,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),101.28585100812982,2025.72,0
Male,0,Yes,Yes,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.56493811390641,0.0,1
Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,8280.0,1
Female,0,Yes,No,18,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.65898967898102,389.86,0
Female,1,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.40547249671758,2230.7,1
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.77567846760195,1228.86,1
Male,0,No,Yes,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.81336248527121,1756.27,0
Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,61.054562896607024,610.55,1
Male,1,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.73408569914508,0.0,1
Male,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.79160626806654,170.37,0
Female,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.67680503459044,8544.73,0
Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,72.20101385756749,3754.45,0
Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),120.0,8640.0,0
Male,0,Yes,Yes,40,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.8315615764344,793.26,0
Female,0,Yes,Yes,50,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.026470341349874,1451.32,1
Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),106.030009530523,0.0,0
Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),53.80043857295971,107.6,1
Male,1,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.233897112706885,416.11,1
Female,0,Yes,Yes,16,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),64.66535167652728,1034.65,1
Female,1,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,118.9605986437238,8565.16,0
Male,0,No,No,13,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.60099039613269,657.81,1
Female,0,No,No,24,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,92.13985373135004,2211.36,0
Male,1,Yes,Yes,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,8640.0,0
Male,0,Yes,No,49,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.46516965839478,1149.79,0
Male,1,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.00547915636896,7344.39,0
Female,0,No,No,8,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),34.872044421355334,278.98,1
Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,106.60185577972976,6396.11,0
Male,0,No,Yes,49,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,56.70601202116652,2778.59,0
Male,1,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,93.02504038001356,0.0,1
Male,0,No,No,45,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),29.286959665589222,1317.91,0
Female,1,No,No,13,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,113.8457211820862,1479.99,1
Female,0,No,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,96.20678475566048,4329.31,1
Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),120.0,5760.0,1
Male,0,No,No,8,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.24851001257927,169.99,0
Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,114.11915200624892,8216.58,1
Female,1,Yes,No,26,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,42.27051664814688,1099.03,1
Male,1,No,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,8640.0,0
Male,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,73.48121975666317,2057.47,0
Male,0,No,No,52,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.28899308949194,3551.03,0
Female,1,No,No,54,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),59.47614193046402,3211.71,1
Female,0,No,No,11,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.50044109754693,269.5,0
Female,0,No,No,21,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,66.51178935483424,1396.75,1
Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,105.56492078962864,7389.54,1
Male,0,No,No,8,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.06426222993788,488.51,1
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,120.0,8640.0,1
Male,0,No,No,21,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,38.28242097670887,803.93,0
Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,73.50669413048921,220.52,1
Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.86799569918284,3877.16,0
Male,0,No,No,30,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.800606000846923,594.02,0
Male,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),120.0,7560.0,0
Male,0,Yes,No,46,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.580232219074222,992.69,0
Male,0,No,No,11,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,47.37144793000626,521.09,1
Male,0,No,No,31,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),86.09890576687191,2669.07,1
Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.18936552627568,2759.11,1
Male,0,Yes,No,49,No,No phone service,No,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),45.94729220669095,2251.42,0
Female,0,Yes,No,12,Yes,Yes,No,Yes,No,No,No,No,No,Two year,Yes,Electronic check,83.39759273733303,1000.77,0
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,109.17192540732135,7860.38,0
Male,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,61.44357381025958,921.65,1
Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),102.42534719654736,1024.25,1
Male,0,Yes,Yes,19,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,33.64186593990048,639.2,0
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,91.38322948527916,456.92,1
Female,0,No,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.87589154245244,114.88,1
Female,1,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,116.2784028842419,5465.08,1
Female,0,Yes,Yes,57,Yes,Yes,No,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,105.9952918930728,6041.73,1
Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.62386807117774,6474.18,0
Male,1,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,81.7348463255599,2778.98,0
Female,0,Yes,Yes,72,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.8114266615286,1858.42,0
Male,0,Yes,Yes,52,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.794210219807187,1133.3,0
Female,0,Yes,No,49,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,115.865933775656,5677.43,1
Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),93.22674392763776,1491.63,1
Male,0,Yes,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.1869463655185,7115.96,0
Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,79.99893423629376,479.99,1
Male,0,No,No,31,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.692505915337684,703.47,0
Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,87.32417469078293,4890.15,1
Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,76.61366550872228,1991.96,0
Male,0,No,No,12,Yes,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.26201920142604,1131.14,1
Male,0,Yes,Yes,45,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.283931717148,3477.78,1
Male,1,Yes,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.15999934016746,1797.68,1
Female,0,Yes,No,20,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,101.16171017595526,2023.23,1
Male,0,No,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,81.69925374592742,1143.79,0
Female,0,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.291080702974725,1776.01,0
Female,0,Yes,No,54,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.069983227146874,1569.78,0
Female,1,Yes,No,35,Yes,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,100.82098975775092,3528.73,0
Female,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,58.8192344720854,2470.41,0
